    magnitudes :   20673.8750 ,   26168.1875 ,   37411.9375 ,   28392.3750 ,   26310.0625 ,   25235.6875 ,   22048.5625 ,   22616.7500 ,   35511.5625 ,   28392.3750 ,   276.1875 ,   29536.1875 ,   29536.1875 ,   28392.3750 ,   30602.8125 ,   35511.5625 ,   39411.5625 ,   28392.3750 ,   24283.0625 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   24396.2500 ,   22048.5625 , 
    magnitudes :   20665.6250 ,   25225.5625 ,   37396.9375 ,   29524.3125 ,   26157.7500 ,   25225.5625 ,   22039.6875 ,   21914.6250 ,   37396.9375 ,   29524.3125 ,   27280.8750 ,   27280.8750 ,   24386.5000 ,   33412.1250 ,   29524.3125 ,   29524.3125 ,   29524.3125 ,   28381.0000 ,   31908.1250 ,   37396.9375 ,   39395.8125 ,   28381.0000 ,   25100.4375 ,   28381.0000 ,   29524.3125 ,   22607.7500 ,   25225.5625 ,   22039.6875 , 
    magnitudes :   20693.3750 ,   25259.4375 ,   37447.1250 ,   30975.1250 ,   26334.8125 ,   25259.4375 ,   22069.3125 ,   21944.0000 ,   35370.3125 ,   30859.3125 ,   27317.5000 ,   27317.5000 ,   24419.2500 ,   30631.6250 ,   30859.3125 ,   28419.1250 ,   29564.0000 ,   27317.5000 ,   35545.0000 ,   37447.1250 ,   39691.3750 ,   27317.5000 ,   26053.1250 ,   30859.3125 ,   30859.3125 ,   22638.0625 ,   25259.4375 ,   22069.3125 , 
    magnitudes :   20665.6250 ,   25225.5625 ,   33860.6250 ,   30933.5625 ,   26157.7500 ,   25225.5625 ,   22039.6875 ,   21914.6250 ,   32166.5000 ,   32298.0625 ,   27280.8750 ,   27280.8750 ,   24386.5000 ,   26967.3125 ,   32298.0625 ,   28381.0000 ,   28381.0000 ,   27280.8750 ,   33709.1250 ,   33860.6250 ,   35497.3750 ,   27280.8750 ,   28203.0625 ,   32166.5000 ,   33860.6250 ,   22607.7500 ,   25225.5625 ,   22039.6875 , 
    magnitudes :   20127.2500 ,   24419.2500 ,   30859.3125 ,   33906.1250 ,   26334.8125 ,   25259.4375 ,   22069.3125 ,   21310.1250 ,   28419.1250 ,   35545.0000 ,   27317.5000 ,   27317.5000 ,   25259.4375 ,   23352.3750 ,   35545.0000 ,   28419.1250 ,   28419.1250 ,   27317.5000 ,   35370.3125 ,   30859.3125 ,   32341.4375 ,   27317.5000 ,   33456.9375 ,   37447.1250 ,   37447.1250 ,   22638.0625 ,   25259.4375 ,   22069.3125 , 
    magnitudes :   20108.3125 ,   24396.2500 ,   29536.1875 ,   39411.5625 ,   26310.0625 ,   25235.6875 ,   22048.5625 ,   21923.3750 ,   27291.8125 ,   39411.5625 ,   27291.8125 ,   27291.8125 ,   25235.6875 ,   23330.3750 ,   37411.9375 ,   28392.3750 ,   28392.3750 ,   27291.8125 ,   35337.0625 ,   30830.3125 ,   30946.0000 ,   27291.8125 ,   35337.0625 ,   37411.9375 ,   37411.9375 ,   22616.7500 ,   25235.6875 ,   21923.3750 , 
    magnitudes :   20127.2500 ,   24419.2500 ,   28419.1250 ,   37447.1250 ,   26334.8125 ,   25259.4375 ,   22069.3125 ,   21944.0000 ,   27159.1250 ,   37447.1250 ,   27317.5000 ,   27317.5000 ,   24419.2500 ,   23352.3750 ,   35545.0000 ,   28419.1250 ,   28419.1250 ,   27317.5000 ,   31951.0000 ,   29564.0000 ,   30859.3125 ,   27317.5000 ,   37243.0625 ,   39448.6875 ,   39448.6875 ,   22638.0625 ,   25259.4375 ,   21944.0000 , 
    magnitudes :   20673.8750 ,   24396.2500 ,   27291.8125 ,   37411.9375 ,   27291.8125 ,   25235.6875 ,   22048.5625 ,   21290.0625 ,   26168.1875 ,   35511.5625 ,   28392.3750 ,   27291.8125 ,   24396.2500 ,   22616.7500 ,   32179.3750 ,   28392.3750 ,   28392.3750 ,   27291.8125 ,   26978.1250 ,   29536.1875 ,   30830.3125 ,   27291.8125 ,   33722.6250 ,   33874.1875 ,   33874.1875 ,   22616.7500 ,   25235.6875 ,   21923.3750 , 
    magnitudes :   20665.6250 ,   24386.5000 ,   27280.8750 ,   30817.9375 ,   28381.0000 ,   25225.5625 ,   22039.6875 ,   21914.6250 ,   25225.5625 ,   29524.3125 ,   29524.3125 ,   27280.8750 ,   24386.5000 ,   21914.6250 ,   27122.7500 ,   30817.9375 ,   28381.0000 ,   27280.8750 ,   23321.0625 ,   30817.9375 ,   29524.3125 ,   27280.8750 ,   32166.5000 ,   32298.0625 ,   30817.9375 ,   25100.4375 ,   28381.0000 ,   22745.1875 , 
    magnitudes :   20693.3750 ,   24419.2500 ,   27317.5000 ,   29564.0000 ,   28419.1250 ,   25259.4375 ,   22069.3125 ,   21944.0000 ,   26192.8750 ,   29564.0000 ,   29564.0000 ,   27317.5000 ,   24419.2500 ,   22638.0625 ,   28240.9375 ,   29564.0000 ,   28419.1250 ,   27317.5000 ,   24305.9375 ,   30859.3125 ,   29564.0000 ,   27317.5000 ,   32209.6875 ,   32209.6875 ,   30859.3125 ,   24305.9375 ,   27159.1250 ,   22775.6875 , 
